iter	Passed	Remaining
654	4677	2463
655	4683	2455
656	4692	2449
657	4700	2443
658	4707	2435
659	4713	2428
660	4719	2420
661	4726	2413
662	4733	2405
663	4740	2398
664	4746	2391
665	4753	2383
666	4759	2376
667	4767	2369
668	4774	2362
669	4780	2354
670	4786	2346
671	4792	2339
672	4799	2331
673	4806	2324
674	4815	2318
675	4822	2311
676	4829	2304
677	4836	2297
678	4844	2290
679	4851	2282
680	4857	2275
681	4864	2268
682	4873	2261
683	4879	2254
684	4887	2247
685	4895	2240
686	4903	2233
687	4909	2226
688	4917	2219
689	4925	2212
690	4932	2205
691	4939	2198
692	4947	2191
693	4954	2184
694	4961	2177
695	4968	2170
696	4973	2162
697	4980	2155
698	4987	2147
699	4994	2140
700	5000	2133
701	5007	2125
702	5014	2118
703	5020	2110
704	5028	2104
705	5033	2096
706	5040	2088
707	5046	2081
708	5053	2074
709	5062	2067
710	5068	2060
711	5075	2053
712	5082	2045
713	5092	2039
714	5099	2032
715	5106	2025
716	5112	2017
717	5118	2010
718	5127	2003
719	5133	1996
720	5139	1988
721	5145	1981
722	5153	1974
723	5160	1967
724	5167	1960
725	5174	1952
726	5182	1946
727	5188	1938
728	5196	1931
729	5201	1923
730	5209	1916
731	5216	1909
732	5224	1903
733	5230	1895
734	5236	1887
735	5243	1880
736	5251	1873
737	5258	1866
738	5264	1859
739	5272	1852
740	5280	1845
741	5288	1838
742	5293	1831
743	5299	1823
744	5306	1816
745	5313	1809
746	5321	1802
747	5327	1794
748	5333	1787
749	5340	1780
750	5346	1772
751	5354	1765
752	5361	1758
753	5369	1751
754	5377	1745
755	5385	1738
756	5393	1731
757	5399	1723
758	5406	1716
759	5415	1710
760	5422	1702
761	5427	1695
762	5435	1688
763	5442	1681
764	5449	1674
765	5457	1667
766	5464	1660
767	5471	1652
768	5478	1645
769	5486	1638
770	5491	1630
771	5497	1623
772	5504	1616
773	5511	1609
774	5519	1602
775	5525	1594
776	5532	1587
777	5538	1580
778	5546	1573
779	5553	1566
780	5559	1559
781	5567	1551
782	5573	1544
783	5581	1537
784	5588	1530
785	5596	1523
786	5603	1516
787	5613	1510
788	5618	1502
789	5625	1495
790	5633	1488
791	5639	1480
792	5646	1473
793	5652	1466
794	5659	1459
795	5665	1451
796	5671	1444
797	5679	1437
798	5689	1431
799	5696	1424
800	5704	1417
801	5712	1410
802	5718	1402
803	5724	1395
804	5731	1388
805	5738	1381
806	5746	1374
807	5751	1366
808	5759	1359
809	5765	1352
810	5771	1344
811	5778	1337
812	5784	1330
813	5790	1323
814	5796	1315
815	5804	1308
816	5811	1301
817	5817	1294
818	5825	1287
819	5832	1280
820	5841	1273
821	5846	1266
822	5852	1258
823	5858	1251
824	5866	1244
825	5874	1237
826	5879	1229
827	5885	1222
828	5892	1215
829	5901	1208
830	5909	1201
831	5915	1194
832	5923	1187
833	5929	1180
834	5937	1173
835	5945	1166
836	5951	1159
837	5958	1151
838	5964	1144
839	5973	1137
840	5978	1130
841	5984	1123
842	5992	1116
843	5999	1108
844	6007	1101
845	6013	1094
846	6021	1087
847	6027	1080
848	6033	1073
849	6040	1065
850	6046	1058
851	6053	1051
852	6059	1044
853	6068	1037
854	6075	1030
855	6081	1023
856	6087	1015
857	6094	1008
858	6103	1001
859	6108	994
860	6115	987
861	6121	979
862	6129	973
863	6137	966
864	6145	959
865	6153	952
866	6161	945
867	6168	938
868	6174	930
869	6182	923
870	6190	916
871	6197	909
872	6204	902
873	6211	895
874	6218	888
875	6225	881
876	6233	874
877	6240	867
878	6247	859
879	6254	852
880	6262	845
881	6269	838
882	6275	831
883	6283	824
884	6290	817
885	6299	810
886	6305	803
887	6312	796
888	6319	789
889	6326	781
890	6333	774
891	6338	767
892	6347	760
893	6353	753
894	6361	746
895	6368	739
896	6374	732
897	6380	724
898	6387	717
899	6395	710
900	6401	703
901	6407	696
902	6414	689
903	6420	681
904	6428	674
905	6435	667
906	6443	660
907	6449	653
908	6457	646
909	6464	639
910	6471	632
911	6478	625
912	6487	618
913	6494	611
914	6501	603
915	6508	596
916	6515	589
917	6521	582
918	6529	575
919	6535	568
920	6542	561
921	6549	554
922	6557	547
923	6563	539
924	6568	532
925	6576	525
926	6582	518
927	6591	511
928	6597	504
929	6605	497
930	6613	490
931	6625	483
932	6634	476
933	6642	469
934	6649	462
935	6657	455
936	6662	447
937	6669	440
938	6675	433
939	6683	426
940	6691	419
941	6696	412
942	6704	405
943	6711	398
944	6718	391
945	6725	383
946	6731	376
947	6738	369
948	6745	362
949	6753	355
950	6759	348
951	6765	341
952	6773	334
953	6779	326
954	6787	319
955	6793	312
956	6800	305
957	6807	298
958	6813	291
959	6821	284
960	6827	277
961	6835	269
962	6841	262
963	6849	255
964	6855	248
965	6861	241
966	6868	234
967	6875	227
968	6883	220
969	6890	213
970	6895	205
971	6902	198
972	6908	191
973	6917	184
974	6923	177
975	6929	170
976	6936	163
977	6946	156
978	6953	149
979	6960	142
980	6967	134
981	6975	127
982	6984	120
983	6990	113
984	6999	106
985	7006	99
986	7015	92
987	7022	85
988	7031	78
989	7037	71
990	7049	64
991	7055	56
992	7063	49
993	7070	42
994	7077	35
995	7083	28
996	7088	21
997	7095	14
998	7102	7
999	7109	0
