,uid,nprocs,run_time,exe,STDIO_agg_perf_by_slowest,STDIO_TOTAL_FILES,STDIO_READ_ONLY_FILES,STDIO_WRITE_ONLY_FILES,STDIO_READ_WRITE_FILES,STDIO_UNIQUE_FILES,STDIO_SHARE_FILES,STDIO_OPENS,STDIO_FDOPENS,STDIO_READS,STDIO_WRITES,STDIO_SEEKS,STDIO_FLUSHES,STDIO_BYTES_WRITTEN,STDIO_BYTES_READ,STDIO_MAX_BYTE_READ,STDIO_MAX_BYTE_WRITTEN,STDIO_FASTEST_RANK,STDIO_FASTEST_RANK_BYTES,STDIO_SLOWEST_RANK,STDIO_SLOWEST_RANK_BYTES
26,10872,1,0.010888099670410156,/thfs3/home/testpdl1/miniforge3/envs/torch2/bin/python -c import sys;print(sys.path) ,0.001037344398340249,1,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,10872,1,0.010904788970947266,/thfs3/home/testpdl1/miniforge3/envs/torch2/bin/python -u bert_train.py ,0.0012654223347042075,1,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,10872,1,19.22032117843628,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml.gguf -p What is Love? Love can be: -n 16 -t 4 -e ,1300.030673265361,5,2,3,0,5,0,6.0,0.0,66046.0,1053.0,3.0,1050.0,90781.0,13478312957.0,13478312959.0,90778.0,0.0,0.0,0.0,0.0
29,10872,1,0.0022454261779785156,/thfs3/home/testpdl1/script/libmt-tools/get_dsp_pc 1 ,0.04903677758318739,2,1,1,0,2,0,2.0,0.0,1.0,24.0,0.0,0.0,48.0,1.0,0.0,47.0,0.0,0.0,0.0,0.0
30,10872,1,0.004839420318603516,/thfs3/home/testpdl1/script/libmt-tools/get_dsp_pc 0 ,0.04846686449060336,2,1,1,0,2,0,2.0,0.0,1.0,24.0,0.0,0.0,48.0,1.0,0.0,47.0,0.0,0.0,0.0,0.0
31,10872,1,19.54021120071411,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml.gguf -p What is Love? Love can be: -n 16 -t 4 -e ,1208.6658004881015,5,2,3,0,5,0,6.0,0.0,66046.0,1053.0,3.0,1050.0,90781.0,13478312957.0,13478312959.0,90778.0,0.0,0.0,0.0,0.0
32,10872,1,26.99894642829895,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml.gguf -p What is Love? Love can be: -n 32 -t 4 -e ,1344.3342020834743,5,2,3,0,5,0,6.0,0.0,66046.0,1149.0,3.0,1146.0,102071.0,13478312957.0,13478312959.0,102068.0,0.0,0.0,0.0,0.0
33,10872,1,0.01070404052734375,/thfs3/home/testpdl1/miniforge3/envs/torch2/bin/python -u bert_train.py ,0.001252740369558409,1,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,10872,1,19.19107937812805,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml.gguf -p What is Love? Love can be: -n 16 -t 4 -e ,1291.4872943274906,5,2,3,0,5,0,6.0,0.0,66046.0,1053.0,3.0,1050.0,90781.0,13478312957.0,13478312959.0,90778.0,0.0,0.0,0.0,0.0
35,10872,1,0.01105952262878418,/thfs3/home/testpdl1/miniforge3/envs/torch2/bin/python -u bert_train.py ,0.0011926058437686344,1,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,10872,1,39.73281741142273,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml.gguf -p What is Love? Love can be: -n 16 -t 4 -e ,431.193897781379,5,2,3,0,5,0,6.0,0.0,66046.0,1053.0,3.0,1050.0,90781.0,13478312957.0,13478312959.0,90778.0,0.0,0.0,0.0,0.0
37,10872,1,53.349955558776855,/thfs3/home/testpdl1/miniforge3/envs/torch=2.1/bin/python3 convert.py models/7B/ ,1.285721732784236,4,3,0,0,4,0,4.0,0.0,393.0,0.0,1.0,0.0,0.0,12332.0,12328.0,0.0,0.0,0.0,0.0,0.0
38,10872,1,0.03325676918029785,/thfs3/home/testpdl1/miniforge3/envs/torch2/bin/python -c import sys;print(sys.path) ,0.0011689070718877848,1,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,10872,1,0.003394603729248047,/usr/bin/free -h ,0.0011929615269907546,1,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,10872,1,0.010807991027832031,/thfs3/home/testpdl1/miniforge3/envs/torch2/bin/python -c import sys;print(sys.path) ,0.001026694045174538,1,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,10872,1,19.98117232322693,/thfs3/home/testpdl1/llama/llama.cpp.dsp/./build/bin/main -m /thfs3/home/testpdl1/llama/ggml.gguf -p What is Love? Love can be: -n 16 -t 4 -e ,1200.3940431407068,5,2,3,0,5,0,6.0,0.0,66046.0,1053.0,3.0,1050.0,90984.0,13478312957.0,13478312959.0,90981.0,0.0,0.0,0.0,0.0
42,10872,1,0.010537147521972656,/thfs3/home/testpdl1/miniforge3/envs/torch2/bin/python -u bert_train.py ,0.0010314595152140279,1,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,10872,1,0.011133909225463867,/thfs3/home/testpdl1/miniforge3/envs/torch2/bin/python -c import sys;print(sys.path) ,0.0013679890560875513,1,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
