,uid,nprocs,run_time,exe,MPIIO_agg_perf_by_slowest,MPIIO_TOTAL_FILES,MPIIO_READ_ONLY_FILES,MPIIO_WRITE_ONLY_FILES,MPIIO_READ_WRITE_FILES,MPIIO_UNIQUE_FILES,MPIIO_SHARE_FILES,MPIIO_INDEP_OPENS,MPIIO_COLL_OPENS,MPIIO_INDEP_READS,MPIIO_INDEP_WRITES,MPIIO_COLL_READS,MPIIO_COLL_WRITES,MPIIO_SPLIT_READS,MPIIO_SPLIT_WRITES,MPIIO_NB_READS,MPIIO_NB_WRITES,MPIIO_SYNCS,MPIIO_HINTS,MPIIO_VIEWS,MPIIO_MODE,MPIIO_BYTES_READ,MPIIO_BYTES_WRITTEN,MPIIO_RW_SWITCHES,MPIIO_MAX_READ_TIME_SIZE,MPIIO_MAX_WRITE_TIME_SIZE,MPIIO_SIZE_READ_AGG_0_100,MPIIO_SIZE_READ_AGG_100_1K,MPIIO_SIZE_READ_AGG_1K_10K,MPIIO_SIZE_READ_AGG_10K_100K,MPIIO_SIZE_READ_AGG_100K_1M,MPIIO_SIZE_READ_AGG_1M_4M,MPIIO_SIZE_READ_AGG_4M_10M,MPIIO_SIZE_READ_AGG_10M_100M,MPIIO_SIZE_READ_AGG_100M_1G,MPIIO_SIZE_READ_AGG_1G_PLUS,MPIIO_SIZE_WRITE_AGG_0_100,MPIIO_SIZE_WRITE_AGG_100_1K,MPIIO_SIZE_WRITE_AGG_1K_10K,MPIIO_SIZE_WRITE_AGG_10K_100K,MPIIO_SIZE_WRITE_AGG_100K_1M,MPIIO_SIZE_WRITE_AGG_1M_4M,MPIIO_SIZE_WRITE_AGG_4M_10M,MPIIO_SIZE_WRITE_AGG_10M_100M,MPIIO_SIZE_WRITE_AGG_100M_1G,MPIIO_SIZE_WRITE_AGG_1G_PLUS,MPIIO_ACCESS1_ACCESS,MPIIO_ACCESS2_ACCESS,MPIIO_ACCESS3_ACCESS,MPIIO_ACCESS4_ACCESS,MPIIO_ACCESS1_COUNT,MPIIO_ACCESS2_COUNT,MPIIO_ACCESS3_COUNT,MPIIO_ACCESS4_COUNT,MPIIO_FASTEST_RANK,MPIIO_FASTEST_RANK_BYTES,MPIIO_SLOWEST_RANK,MPIIO_SLOWEST_RANK_BYTES
10,49294,112,14.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4029.6018254308983,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,4.0,536870912.0,34.0,536870912.0
11,49294,112,38.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,1533.3405978819237,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,42.0,536870912.0,78.0,536870912.0
12,393082,8192,169426.0,exec input.rad_ccsn,139.98716607837926,46,1,45,0,0,46,0.0,376832.0,73749.0,11753.0,8192.0,59916288.0,0.0,0.0,0.0,0.0,40960.0,0.0,119848960.0,407.0,74645505244.0,1022210781544.0,0.0,11299200.0,46896040.0,24584.0,49163.0,2.0,0.0,0.0,5.0,3693.0,4494.0,0.0,0.0,42270.0,10433.0,55486164.0,4311568.0,36646.0,25.0,18465.0,22470.0,0.0,0.0,54225152.0,39289928.0,21809584.0,43523456.0,32556622.0,19993029.0,2962249.0,2453231.0,216340.0,117756416.0,22429.0,444282836.0
13,49294,112,15.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4038.874116409796,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,46.0,536870912.0,62.0,536870912.0
14,49294,112,14.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4056.0197144430426,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,44.0,536870912.0,55.0,536870912.0
15,49294,112,15.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,3968.645491342992,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,33.0,536870912.0,90.0,536870912.0
16,49294,112,14.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4025.5868155236863,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,28.0,536870912.0,78.0,536870912.0
17,49294,112,14.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4182.6929860667715,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,28.0,536870912.0,61.0,536870912.0
18,49294,112,14.0,/u/staff/arnoldg/ior/src/ior -f /u/staff/arnoldg/ior/iorscript,4151.768500376083,1,0,0,1,0,1,0.0,1792.0,0.0,0.0,3584.0,3584.0,0.0,0.0,0.0,0.0,0.0,896.0,0.0,2.0,30064771072.0,30064771072.0,784.0,8388608.0,8388608.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,0.0,0.0,0.0,8388608.0,0.0,0.0,0.0,7168.0,0.0,0.0,0.0,73.0,536870912.0,6.0,536870912.0
19,370969,65536,85507.0,exec parfile.par,154.75003127536496,33,1,32,0,0,33,0.0,2162688.0,589845.0,8428.0,65536.0,344391680.0,0.0,0.0,0.0,0.0,196608.0,0.0,688914432.0,290.0,284092797916.0,2716904530504.0,0.0,5040000.0,11128096.0,196616.0,393227.0,2.0,0.0,0.0,29196.0,36340.0,0.0,0.0,0.0,328614.0,7488.0,325576320.0,17950023.0,335808.0,92835.0,109020.0,0.0,0.0,0.0,14799872.0,11639112.0,15235616.0,14923136.0,139631638.0,97842761.0,41880603.0,18307126.0,790250.0,39335456.0,183853.0,55681352.0
